Region,Percentage,Type
Eastern Metropolitan,85.33604888,House
Eastern Metropolitan,7.026476578,Townhouse
Eastern Metropolitan,7.637474542,Unit
Eastern Victoria,98.03921569,House
Eastern Victoria,0,Townhouse
Eastern Victoria,1.960784314,Unit
Northern Metropolitan,73.66003063,House
Northern Metropolitan,8.537519142,Townhouse
Northern Metropolitan,17.80245023,Unit
Northern Victoria,97.87234043,House
Northern Victoria,0,Townhouse
Northern Victoria,2.127659574,Unit
South-Eastern Metropolitan,90.29649596,House
South-Eastern Metropolitan,5.39083558,Townhouse
South-Eastern Metropolitan,4.312668464,Unit
Southern Metropolitan,63.24344293,House
Southern Metropolitan,9.050609531,Townhouse
Southern Metropolitan,27.70594754,Unit
Western Metropolitan,80.71879553,House
Western Metropolitan,8.013598834,Townhouse
Western Metropolitan,11.26760563,Unit
Western Victoria,100,House
Western Victoria,0,Townhouse
Western Victoria,0,Unit